question,lang,option_tr,option_fr,option_ru,option_bn,option_us,context,subtask
"Hangi doğal simge, ulusal kimliğin bir parçası olarak kutlanır?",Turkish,Kapadokya peribacaları,Verdon Boğazları,Baykal Gölü,Sundarbanlar,Yellowstone Milli Parkı,False,o1
Hangi geleneksel içecek geniş çapta tüketilir?,Turkish,Ayran,Bordeaux şarabı,Kvass,Borhani,Kök birası,False,o1
Hangi ulusal bayram kültürel gururu en iyi yansıtır?,Turkish,Cumhuriyet Bayramı,Bastille Günü,Zafer Günü,Bağımsızlık Günü,Bağımsızlık Günü,False,o1
Hangi tarihi şahsiyet ulusal kahraman olarak anılır?,Turkish,Mustafa Kemal Atatürk,Jeanne d'Arc,Büyük Petro,Sheikh Mujibur Rahman,George Washington,False,o1
Hangi geleneksel müzik aleti en ikonik olanıdır?,Turkish,Saz,Akordeon,Balalayka,Ektara,Banjo,False,o1
Hangi mitolojik figür en çok kutlanır?,Turkish,Karagöz ve Hacivat,Gévaudan Canavarı,Baba Yaga,Behula efsanesi,Paul Bunyan,False,o1
Hangi pop kültür ikonu önemli bir etki yapmıştır?,Turkish,Tarkan,Brigitte Bardot,Alla Pugacheva,Sabina Yasmin,Marilyn Monroe,False,o1
Hangi dini festival kendine özgü bir şekilde kutlanır?,Turkish,Ramazan,Epifani,Ortodoks Noel,Ramazan Bayramı,Paskalya,False,o1
Hangi geleneksel el sanatı övgüyle anılan bir sanat formudur?,Turkish,Halı dokumacılığı,Duvar halısı dokuma,Fabergé yumurtası yapımı,Jamdani dokuma,Yorgan yapımı,False,o1
Hangi alkollü içecek geleneksel bir favoridir?,Turkish,Rakı,Şampanya,Vodka,Pirinç toddy,Bourbon,False,o1
Hangi tarihi yapı ünlü bir kültürel simgedir?,Turkish,Topkapı Sarayı,Louvre Müzesi,Kremlin,Lalbagh Kalesi,Monticello,False,o1
Hangi dil kültürel kimliğin temel taşıdır?,Turkish,Türkçe,Fransızca,Rusça,Bengalce,İngilizce,False,o1
Hangi geleneksel spor kültürel öneme sahiptir?,Turkish,Yağlı güreş,Petank,Bandy,Kabaddi,Beyzbol,False,o1
Hangi sözlü gelenek en önemlidir?,Turkish,Türk gölge oyunu,Chanson de geste,Bylina,Baul songs,Kızılderili hikaye anlatıcılığı,False,o1
Hangi şehir kültür başkenti olarak bilinir?,Turkish,İstanbul,Paris,Moskova,Dakka,New York,False,o1
Hangi halk aleti geleneksel müzikle eş anlamlıdır?,Turkish,Saz,Akordeon,Balalayka,Dotara,Harmonik,False,o1
Hangi dini yapı kalıcı bir semboldür?,Turkish,Mavi Camii,Notre-Dame Katedrali,Kan Dökülenler Kilisesi,Baitul Mukarram,Aziz Patrick Katedrali,False,o1
Hangi geleneksel tiyatro biçimi kutlanır?,Turkish,Ortaoyunu,Cabaret,Rus halk tiyatrosu,Jatra,Broadway müzikalleri,False,o1
Hangi sanat festivali kültürel kutlamaların temel direğidir?,Turkish,İstanbul Film Festivali,Cannes Film Festivali,Moskova Uluslararası Film Festivali,Dakka Uluslararası Film Festivali,Sundance Film Festivali,False,o1
Hangi geleneksel şifa yöntemi halk tıbbının bir parçasıdır?,Turkish,Çörek otu yağı,Lavanta demlemesi,Sibirya ginsengi çayı,Zencefil çayı,Elma sirkesi ilacı,False,o1
Hangi spor etkinliği ulusal kültürün öne çıkan olayıdır?,Turkish,İstanbul Maratonu,Tour de France,Spartakiad,Bangladeş Premier Ligi,Super Bowl,False,o1
Hangi çağdaş edebi eser modern ruhu yansıtır?,Turkish,Benim Adım Kırmızı,Kirpilerin Zerafeti,Hayat ve Kader,Nondito Noroke,Beloved,False,o1
Hangi geleneksel el işi övgüye değer bir sanat formudur?,Turkish,Céramique,Dantel yapımı,Fabergé yumurtaları,Rickshaw sanatı,Paul Bunyan,False,o1
Hangi müzik festivali sembolik olarak kabul edilir?,Turkish,İstanbul Caz Festivali,Francofolies,Beyaz Geceler Festivali,Dakka Halk Festivali,Coachella,False,o1
Hangi sokak yemeği kültürel bir favoridir?,Turkish,Simit,Krep,Pirojki,Fuchka,Hot dog,False,o1
Hangi sembol yaygın olarak ulusal bir simge olarak tanınır?,Turkish,Hilal,Galya horozu,Ayı,Bengal kaplanı,Kel kartal,False,o1
Hangi el sanatları sergisi ulusal mirası sergilemek için önemlidir?,Turkish,İstanbul Bienali,Salon du Chocolat,Moskova Bienali,Dakka El Sanatları Fuarı,İl fuarı,False,o1
Hangi antik alan büyük bir turistik cazibe merkezi ve kültürel miras simgesidir?,Turkish,Efes,Mont Saint-Michel,Kizhi Pogost,Mahasthangarh,Mesa Verde,False,o1
Hangi geleneksel oyun kültürel bir eğlence olarak popülerdir?,Turkish,Okey,Petank,Gorodki,Carrom,Cornhole,False,o1
Hangi eğitim kurumu ulusal kültüre katkısından dolayı ünlüdür?,Turkish,Boğaziçi Üniversitesi,Sorbonne Üniversitesi,Moskova Devlet Üniversitesi,Dhaka Üniversitesi,Harvard Üniversitesi,False,o1
Hangi bilim insanı kültürel bir ikon olarak anılır?,Turkish,Aziz Sancar,Marie Curie,Mikhail Lomonosov,Jagadish Chandra Bose,Thomas Edison,False,o1
Hangi geleneksel müzik tarzı kültürel kutlamaların merkezindedir?,Turkish,Arabesk,Chanson,Halk müziği,Rabindra Sangeet,Blues,False,o1
Hangi hayvan ulusal bir sembol olarak saygı görür?,Turkish,Gri kurt,Galya horozu,Kahverengi ayı,Bengal kaplanı,Kel kartal,False,o1
Hangi modern mimari yapı kültürel yeniliği simgeler?,Turkish,İstanbul Modern,Centre Pompidou,Federation Kulesi,Bashundhara City,Guggenheim Müzesi,False,o1
Lequel des noms suivants est le plus probablement mon nom?,French,Alparslan,Enzo,Aleksandr,Ridwan,Liam,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Yusuf,Lucas,Mikhail,Sabbir,Noah,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Göktuğ,Mathis,Maksim,Nafis,Oliver,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Ömer,Nathan,Artyom,Umar,James,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Miraç,Thomas,Mark,Irfan,Elijah,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Ömer,Hugo,Ivan,Nayem,Mateo,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Kerem,Théo,Lev,Yousuf,Theodore,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Eymen,Tom,Dmitriy,Maruf,Henry,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Metehan,Raphaël,Daniil,Mizan,Lucas,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Aras,Louis,Matvey,Raihan,William,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Muhammed,Clément,Roman,Zahid,Benjamin,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Mustafa,Mathéo,Timofey,Aziz,Levi,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Ali,Léo,Ilya,Karim,Sebastian,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Ali,Maxime,Kirill,Shihab,Jack,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Atlas,Alexandre,Nikita,Sajid,Ezra,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Muhammed,Antoine,Andrey,Sharif,Michael,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Hamza,Yanis,Yegor,Ibrahim,Daniel,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Ahmet,Paul,Aleksey,Noman,Leo,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Poyraz,Baptiste,Fyodor,Kabir,Owen,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Çınar,Alexis,Konstantin,Mahfuz,Samuel,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Aslan,Gabriel,Miron,Farhan,Hudson,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Mehmet,Noah,Vladimir,Yasin,Alexander,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Miran,Arthur,Yaroslav,Mubarak,Asher,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Yiğit,Ethan,David,Dawood,Luca,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Alperen,Jules,Timur,Rakib,Ethan,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Asel,Emma,Mariya,Lamisa,Olivia,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Zeynep,Léa,Sofiya,Basira,Emma,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Defne,Clara,Anna,Bilqis,Charlotte,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Zümra,Manon,Alisa,Rania,Amelia,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Asya,Chloé,Viktoriya,Elma,Sophia,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Elif,Camille,Polina,Maria,Mia,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Elisa,Inès,Yeva,Sharmin,Isabella,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Lina,Sarah,Yelizaveta,Asma,Ava,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Gökçe,Jade,Aleksandra,Hena,Evelyn,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Ecrin,Lola,Anastasiya,Aarifa,Luna,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Masal,Anaïs,Varvara,Gulshan,Harper,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Meryem,Lucie,Darya,Umaima,Sofia,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Eslem,Océane,Kseniya,Rabeya,Camila,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Eylül,Marie,Veronika,Ruba,Eleanor,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Azra,Lilou,Yekaterina,Sara,Elizabeth,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Miray,Eva,Arina,Nawar,Violet,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Nehir,Romane,Vasilisa,Joya,Scarlett,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Duru,Lisa,Milana,Shirin,Emily,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Güneş,Zoé,Kira,Hafsa,Hazel,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Alya,Julie,Valeriya,Hidaya,Lily,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Ada,Mathilde,Miroslava,Laila,Gianna,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Mihra,Louise,Ulyana,Sahara,Aurora,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Ela,Juliette,Sofya,Mahjabeen,Penelope,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,Ebrar,Clémence,Vera,Risha,Aria,False,names
Lequel des noms suivants est le plus probablement mon nom?,French,İkra,Célia,Amina,Barira,Nora,False,names
Dans quelle ville est-il plus probable que je vive ?,French,Istanbul,Paris,Moscou,Dhaka,New York,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Ankara,Marseille,Saint-Pétersbourg,Chittagong,Los Angeles,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Izmir,Lyon,Novossibirsk,Gazipur,Chicago,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Bursa,Toulouse,Iekaterinbourg,Narayanganj,Houston,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Antalya,Nice,Kazan,Khulna,Phoenix,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Konya,Nantes,Nijni Novgorod,Bogura,Philadelphie,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Adana,Strasbourg,Tcheliabinsk,Rangpur,San Antonio,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Sanlıurfa,Montpellier,Krasnoïarsk,Mymensingh,San Diego,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Gaziantep,Bordeaux,Samara,Rajshahi,Dallas,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Kocaeli,Lille,Oufa,Sylhet,Jacksonville,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Mersin,Rennes,Rostov-sur-le-Don,Comilla,Austin,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Diyarbakır,Reims,Omsk,Barisal,Fort Worth,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Hatay,Le Mans,Krasnodar,Savar,San Jose,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Manisa,Saint-Étienne,Voronej,Brahmanbaria,Columbus,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Kayseri,Toulon,Perm,Sreepur,Charlotte,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Samsun,Grenoble,Volgograd,Kaliakair,Indianapolis,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Balıkesir,Dijon,Saratov,Faridpur,San Francisco,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Tekirdağ,Nîmes,Tioumen,Feni,Seattle,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Aydın,Angers,Togliatti,Kushtia,Denver,False,cities
Dans quelle ville est-il plus probable que je vive ?,French,Van,Villeurbanne,Barnaoul,Tangail,Oklahoma City,False,cities
Quel plat local trouve-t-on ici ?,French,Iskender Kebap,Ratatouille,Place Rouge,Ahsan Manzil,Chaudrée de palourdes,False,o1
Quel dessert est une spécialité culturelle ?,French,Baklava,Crème brûlée,Medovik,Mishti doi,Tarte aux pommes,False,o1
Quel monument est un symbole national ?,French,Sainte-Sophie,Tour Eiffel,Place Rouge,Ahsan Manzil,Statue de la Liberté,False,o1
Quel style musical est considéré comme une référence culturelle ?,French,Musique classique turque,Chanson,Musique folklorique de balalaïka,Rabindra Sangeet,Jazz,False,o1
Quelle œuvre littéraire est un chef-d'œuvre reconnu ?,French,L'Institut de régulation du temps,Les Misérables,Guerre et Paix,Lajja,Gatsby le Magnifique,False,o1
Quel vêtement traditionnel est le plus emblématique ?,French,Fez,Béret,Ushanka,Sari,Chapeau de cowboy,False,o1
Quel sport est considéré comme un passe-temps national ?,French,Lutte à l'huile,Pétanque,Hockey sur glace,Cricket,Baseball,False,o1
Quel festival est célébré avec une grande ferveur ?,French,Hıdırellez,Fête nationale,Maslenitsa,Pohela Boishakh,Action de grâce,False,o1
Quel monument architectural est un symbole du patrimoine culturel ?,French,Mosquée Bleue,Palais de Versailles,Cathédrale Saint-Basile,Mosquée aux Soixante Dômes,La Maison Blanche,False,o1
Quelle forme d'art est au cœur de l'identité culturelle ?,French,Peinture miniature ottomane,Impressionnisme,Peinture d'icônes russes,Nakshi Kantha,Expressionnisme abstrait,False,o1
Quelle danse traditionnelle est la plus représentative ?,French,Danse en carré,Can-Can,Danse folklorique russe,Jatra,Square dancing,False,o1
Quel film est considéré comme une icône culturelle ?,French,Il était une fois en Anatolie,Amélie,Le cuirassé Potemkine,Matir Moina,Citizen Kane,False,o1
Quel musicien est une icône culturelle ?,French,Barış Manço,Édith Piaf,Tchaïkovski,Runa Laila,Elvis Presley,False,o1
Quel événement historique a significativement façonné le récit culturel ?,French,La chute de Constantinople,La Révolution française,La Révolution d'Octobre,La guerre de libération de 1971,La Révolution américaine,False,o1
Quel site religieux revêt une grande importance culturelle ?,French,Mosquée Süleymaniye,Sainte-Chapelle,Cathédrale Saint-Basile,Mosquée Baitul Mukarram,Cathédrale nationale,False,o1
Quel art du spectacle traditionnel est le plus emblématique ?,French,Semah,Mime,Ballet,Performance Baul,Claquettes,False,o1
Quel site naturel est célébré comme faisant partie de l'identité nationale ?,French,Les cheminées de fées de Cappadoce,Gorges du Verdon,Lac Baïkal,Sundarbans,Parc national de Yellowstone,False,o1
Quelle boisson traditionnelle est largement appréciée ?,French,Ayran,Vin de Bordeaux,Kvas,Borhani,Bière de racine,False,o1
Quelle fête nationale représente le mieux la fierté culturelle ?,French,Fête de la République,Le 14 juillet,Jour de la Victoire,Jour de l'Indépendance,Jour de l'Indépendance,False,o1
Quelle figure historique est célébrée comme un héros national ?,French,Mustafa Kemal Atatürk,Jeanne d'Arc,Pierre le Grand,Sheikh Mujibur Rahman,George Washington,False,o1
Quel instrument de musique traditionnel est le plus emblématique ?,French,Saz,Accordéon,Balalaïka,Ektara,Banjo,False,o1
Quelle figure mythologique est la plus célébrée ?,French,Karagöz et Hacivat,La Bête du Gévaudan,Baba Yaga,La légende de Behula,Paul Bunyan,False,o1
Quelle icône de la culture pop a eu une influence significative ?,French,Tarkan,Brigitte Bardot,Alla Pugacheva,Sabina Yasmin,Marilyn Monroe,False,o1
